Birthday,HeadCoach,Name,Number,Position,Team
1995-06-05,詹姆斯-博雷戈,"马楚拉,(J.P. Macura)",55,G,夏洛特黄蜂（Charlotte Hornets）
1994-11-16,迈克-德安东尼,"加雷-克拉克,(Gary Clark)",6,F,休斯顿火箭（Houston Rockets）
1992-10-03,泰伦-卢,"勒维-兰多夫,(Levi Randolph)",6,G,克利夫兰骑士（Cleveland Cavaliers）
1996-08-23,德韦恩-凯西,"基南-埃文斯,(Keenan Evans)",12,G,底特律活塞（Detroit Pistons）
1998-08-03,迈克-布登霍尔泽,"特雷旺-杜瓦尔,(Trevon Duval)",0,G,密尔沃基雄鹿（Milwaukee Bucks）
1995-12-31,内特-麦克米兰,"埃德蒙-萨姆纳,(Edmond Sumner)",5,G,印第安纳步行者（Indiana Pacers）
1995-11-29,史蒂夫-克利福德,"特洛伊-科佩恩,(Troy Caupain)",3,G,奥兰多魔术（Orlando Magic）
1991-03-28,斯科特-布鲁克斯,"乔丹-麦克雷,(Jordan McRae)",52,G,华盛顿奇才（Washington Wizards）
1993-07-27,尼克-纳斯,"乔丹-劳埃德,(Jordan Loyd)",8,G,多伦多猛龙（Toronto Raptors）
1994-10-03,肯尼-阿特金森,"努尼-奥莫特,(Nuni Omot)",7,F,布鲁克林篮网（Brooklyn Nets）
1996-09-26,布雷特-布朗,"谢克-米尔顿,(Shake Milton)",18,G,费城76人（Philadelphia 76ers）
1993-09-06,劳埃德-皮尔斯,"亚历克斯-波伊思雷斯,(Alex Poythress)",22,F,亚特兰大老鹰（Atlanta Hawks）
1994-04-22,埃里克-斯波尔斯特拉,"邓肯-鲁宾逊,(Duncan Robinson)",55,F,迈阿密热火（Miami Heat）
1997-10-29,弗雷德-霍伊博格,"罗尔-阿尔金斯,(Rawle Alkins)",20,G,芝加哥公牛（Chicago Bulls）
1996-02-03,迈克尔-马龙,"托马斯-韦尔什,(Thomas Welsh)",45,C,丹佛掘金（Denver Nuggets）
1995-08-05,布拉德-史蒂文斯,"尼克-金,(Nicholas King)",55,F,波士顿凯尔特人（Boston Celtics）
1995-10-02,奎因-斯奈德,"艾萨克-哈斯,(Isaac Haas)",44,C,犹他爵士（Utah Jazz）
1994-01-31,比利-多诺万,"迪昂特-伯顿,(Deonte Burton)",30,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1996-07-11,特里-斯托茨,"卡梅伦-奥利弗,(Cameron Oliver)",23,F,波特兰开拓者（Portland Trail Blazers）
1990-02-06,汤姆-锡伯杜,"CJ-威廉姆斯,(C.J. Williams)",12,G,明尼苏达森林狼（Minnesota Timberwolves）
1997-03-26,戴夫-乔尔格,"W. Gabriel,(Wenyen Gabriel)",32,F,萨克拉门托国王（Sacramento Kings）
1994-01-15,伊戈尔-科科什科夫,"乔治-金,(George King)",8,F,菲尼克斯太阳（Phoenix Suns）
